location,year,total_energy_supply
MEX,1991,11.84
MEX,1992,12.34
MEX,1993,12.13
MEX,1994,11.04
MEX,1995,12.19
MEX,1996,12.23
MEX,1997,11.33
MEX,1998,11.1
MEX,1999,11.14
MEX,2000,11.27
MEX,2001,10.25
MEX,2002,9.84
MEX,2003,9.51
MEX,2004,9.87
MEX,2005,9.87
MEX,2006,9.38
MEX,2007,9.66
MEX,2008,8.94
MEX,2009,7.94
MEX,2010,8.67
MEX,2011,8.12
MEX,2012,7.59
MEX,2013,7.81
MEX,2014,8.47
MEX,2015,8.25
NLD,1960,
NLD,1961,
NLD,1962,
NLD,1963,
NLD,1964,
NLD,1965,
NLD,1966,
NLD,1967,
NLD,1968,
NLD,1969,
NLD,1970,
NLD,1971,0.0
NLD,1972,0.0
NLD,1973,0.0
NLD,1974,0.0
NLD,1975,0.32
NLD,1976,0.29
NLD,1977,0.32
NLD,1978,0.42
NLD,1979,0.36
NLD,1980,0.35
NLD,1981,0.33
NLD,1982,0.11
NLD,1983,0.09
NLD,1984,0.01
NLD,1985,0.14
NLD,1986,0.17
NLD,1987,0.21
NLD,1988,0.56
NLD,1989,0.58
NLD,1990,1.15
NLD,1991,1.11
NLD,1992,1.16
NLD,1993,1.23
NLD,1994,1.23
NLD,1995,1.24
NLD,1996,1.35
NLD,1997,1.51
NLD,1998,1.58
NLD,1999,1.68
NLD,2000,1.79
NLD,2001,1.83
NLD,2002,1.99
NLD,2003,1.87
NLD,2004,2.18
NLD,2005,2.78
NLD,2006,3.0
NLD,2007,3.13
NLD,2008,3.65
NLD,2009,4.18
NLD,2010,3.89
NLD,2011,4.44
NLD,2012,4.55
NLD,2013,4.45
NLD,2014,4.72
NLD,2015,5.05
NZL,1960,20.72
NZL,1961,22.67
NZL,1962,28.96
NZL,1963,31.1
NZL,1964,31.42
NZL,1965,32.34
NZL,1966,32.37
NZL,1967,30.88
NZL,1968,31.59
NZL,1969,30.77
NZL,1970,30.01
NZL,1971,32.34
NZL,1972,30.37
NZL,1973,29.17
NZL,1974,31.39
NZL,1975,35.0
NZL,1976,30.78
NZL,1977,28.88
NZL,1978,30.9
NZL,1979,34.22
NZL,1980,35.23
NZL,1981,35.46
NZL,1982,31.96
NZL,1983,33.06
NZL,1984,31.74
NZL,1985,28.62
NZL,1986,30.31
NZL,1987,30.64
NZL,1988,30.61
NZL,1989,32.56
NZL,1990,32.91
NZL,1991,32.62
NZL,1992,30.64
NZL,1993,31.38
NZL,1994,31.25
NZL,1995,31.81
NZL,1996,29.9
NZL,1997,27.67
NZL,1998,30.12
NZL,1999,28.92
NZL,2000,30.28
NZL,2001,28.0
NZL,2002,29.84
NZL,2003,29.63
NZL,2004,31.4
NZL,2005,31.5
NZL,2006,32.07
NZL,2007,32.2
NZL,2008,32.92
NZL,2009,35.65
NZL,2010,38.67
NZL,2011,40.03
NZL,2012,37.61
NZL,2013,38.98
NZL,2014,39.99
NZL,2015,40.46
NOR,1960,39.34
NOR,1961,41.46
NOR,1962,43.77
NOR,1963,42.72
NOR,1964,44.45
NOR,1965,44.98
NOR,1966,41.22
NOR,1967,43.02
NOR,1968,44.44
NOR,1969,40.15
NOR,1970,37.53
NOR,1971,40.81
NOR,1972,42.08
NOR,1973,43.85
NOR,1974,46.16
NOR,1975,45.45
NOR,1976,46.84
NOR,1977,40.48
NOR,1978,41.9
NOR,1979,45.03
NOR,1980,42.37
NOR,1981,47.64
NOR,1982,48.91
NOR,1983,53.28
NOR,1984,50.67
NOR,1985,47.93
NOR,1986,43.45
NOR,1987,46.07
NOR,1988,50.32
NOR,1989,52.44
NOR,1990,54.09
NOR,1991,47.77
NOR,1992,49.46
NOR,1993,47.76
NOR,1994,46.32
NOR,1995,49.07
NOR,1996,43.8
NOR,1997,43.75
NOR,1998,44.35
NOR,1999,45.04
NOR,2000,51.55
NOR,2001,42.8
NOR,2002,49.4
NOR,2003,38.16
NOR,2004,39.92
NOR,2005,48.38
NOR,2006,42.53
NOR,2007,46.39
NOR,2008,41.52
NOR,2009,38.86
NOR,2010,34.44
NOR,2011,42.88
NOR,2012,46.65
NOR,2013,38.66
NOR,2014,45.56
NOR,2015,44.61
POL,1960,1.66
POL,1961,1.6
POL,1962,1.56
POL,1963,1.54
POL,1964,1.51
POL,1965,1.49
POL,1966,1.49
POL,1967,1.53
POL,1968,1.52
POL,1969,1.45
POL,1970,1.3
POL,1971,1.39
POL,1972,1.48
POL,1973,1.25
POL,1974,1.28
POL,1975,1.19
POL,1976,1.05
POL,1977,0.99
POL,1978,0.84
POL,1979,0.74
POL,1980,0.82
POL,1981,1.11
POL,1982,0.9
POL,1983,0.97
POL,1984,1.14
POL,1985,1.18
POL,1986,1.65
POL,1987,1.45
POL,1988,1.37
POL,1989,1.38
POL,1990,1.53
POL,1991,1.34
POL,1992,1.52
POL,1993,3.89
POL,1994,4.0
POL,1995,3.94
POL,1996,3.74
POL,1997,3.78
POL,1998,4.12
POL,1999,4.05
POL,2000,4.28
POL,2001,4.55
